Африка,Africa
Америка,America
Антарктика,Antarctica
Азия,Asia
Австралия,Australia
Европа,Europe
Средиземноморие,Mediterranean
Северна Америка,North_America
Скандинавия,Scandinavia
Южна Америка,South_America
Свят,World
